County,FileNumber,ProviderName,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Available Pediatric ICU,Available Pediatric ICU%,Pediatric ICU Census,Total AdultICU Capacity,Total PediatricICU Capacity
All,All,All,"5,202","1,000",0.161238310,250,0.399361022,376,"6,202",626
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,230,21,0.083665339,14,0.297872340,33,251,47
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,41,7,0.145833333,0,0,0,48,0
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,0,0,0,0,0,0,0,0
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0,0,0,0,0,0,0,0
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,0,0,0,0,0,0,0,0
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,0,0,0,0,0,0,0,0
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
BAY,100026,ASCENSION SACRED HEART BAY,50,2,0.038461538,0,0,0,52,0
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,18,2,0.1,2,0.5,2,20,4
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,0,0,0,0,0,0,0,0
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0,0,0,0,0,0,0,0
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0,0,0,0,0,0,0,0
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0,0,0,0,0,0,0,0
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,48,20,0.294117647,0,0,0,68,0
BREVARD,100028,PARRISH MEDICAL CENTER,11,1,0.083333333,0,0,0,12,0
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,22,12,0.352941176,0,0,0,34,0
BREVARD,100177,CAPE CANAVERAL HOSPITAL,7,5,0.416666667,0,0,0,12,0
BREVARD,104024,"CIRCLES OF CARE, INC",0,0,0,0,0,0,0,0
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,0,0,0,0,0,0
BREVARD,110036,DEVEREUX FLORIDA,0,0,0,0,0,0,0,0
BREVARD,120007,PALM BAY HOSPITAL,7,5,0.416666667,0,0,0,12,0
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,3,9,0.75,0,0,0,12,0
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,5,3,0.375,0,0,0,8,0
BREVARD,23960092,VIERA HOSPITAL,19,1,0.05,0,0,0,20,0
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,0,0,0,0,0,0,0,0
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,56,17,0.232876712,14,0.466666667,16,73,30
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,43,0,0,4,0.333333333,8,43,12
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,6,2,0.25,0,0,0,8,0
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,45,3,0.0625,0,0,0,48,0
BROWARD,100073,HOLY CROSS HOSPITAL,35,7,0.166666667,8,0.666666667,4,42,12
BROWARD,100086,BROWARD HEALTH NORTH,33,0,0,0,0,0,33,0
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,6,2,0.25,0,0,0,8,0
BROWARD,100167,PLANTATION GENERAL HOSPITAL,17,3,0.15,8,1,0,20,8
BROWARD,100189,NORTHWEST MEDICAL CENTER,28,2,0.066666667,0,0,0,30,0
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,8,1,0.111111111,0,0,0,9,0
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,33,3,0.083333333,0,0,0,36,0
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,13,2,0.133333333,0,0,0,15,0
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,0,0,0,0,0,0,0,0
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,37,0,0,0,0,0,37,0
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,17,2,0.105263158,0,0,0,19,0
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,0,0,0,0,0,0,0,0
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0,0,0,0,0,0,0,0
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0,0,0,0,0,0,0,0
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0,0,0,0,0,0,0,0
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,23,0,0,3,0.75,1,23,4
BROWARD,111527,MEMORIAL HOSPITAL WEST,55,0,0,0,0,0,55,0
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,30,0,0,0,0,0,30,0
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,0,0,0,0,0,0,0,0
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,6,5,0.454545455,0,0,0,11,0
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,27,2,0.068965517,0,0,0,29,0
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,19,0,0,0,0,0,19,0
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,15,9,0.375,0,0,0,24,0
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,13,3,0.1875,0,0,0,16,0
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,5,1,0.166666667,0,0,0,6,0
CLAY,100226,ORANGE PARK MEDICAL CENTER,26,2,0.071428571,12,0.857142857,2,28,14
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,6,2,0.25,0,0,0,8,0
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,19,12,0.387096774,0,0,0,31,0
COLLIER,110043,"WILLOUGH AT NAPLES, THE",0,0,0,0,0,0,0,0
