County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"12,964",0.214210178,"47,556","60,520"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,177,0.170684667,860,"1,037"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,34,0.073275862,430,464
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,4,0.066666667,56,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,14,0.170731707,68,82
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,0,0,48,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,5,0.416666667,7,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,495,0.807504078,118,613
BAY,100026,ASCENSION SACRED HEART BAY,17,0.108974359,139,156
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,33,0.142857143,198,231
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,22,0.255813953,64,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,23,0.410714286,33,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,20,0.666666667,10,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,88,0.173913043,418,506
BREVARD,100028,PARRISH MEDICAL CENTER,49,0.281609195,125,174
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,40,0.227272727,136,176
BREVARD,100177,CAPE CANAVERAL HOSPITAL,66,0.478260870,72,138
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,2,0.032786885,59,61
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,20,0.173913043,95,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,63,0.6,42,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,14,0.233333333,46,60
BREVARD,23960092,VIERA HOSPITAL,11,0.130952381,73,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,27,0.613636364,17,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,143,0.152941176,792,935
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,25,0.058548009,402,427
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,43,0.361344538,76,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,9,0.039130435,221,230
BROWARD,100073,HOLY CROSS HOSPITAL,124,0.356321839,224,348
BROWARD,100086,BROWARD HEALTH NORTH,0,0,236,236
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,15,0.283018868,38,53
BROWARD,100167,PLANTATION GENERAL HOSPITAL,122,0.462121212,142,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,80,0.276816609,209,289
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,2,0.014705882,134,136
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,20,0.108695652,164,184
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,127,0.400630915,190,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,24,0.201680672,95,119
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,15,0.06,235,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,12,0.069364162,161,173
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,14,0.538461538,12,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,31,0.281818182,79,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,296,296
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,11,0.275,29,40
