County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"13,614",0.227070303,"46,341","59,955"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,177,0.169216061,869,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,23,0.050772627,430,453
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,4,0.066666667,56,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,24,0.296296296,57,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,0,0,48,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,8,0.666666667,4,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,488,0.796084829,125,613
BAY,100026,ASCENSION SACRED HEART BAY,40,0.243902439,124,164
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,43,0.180672269,195,238
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,15,0.174418605,71,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,26,0.464285714,30,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,21,0.7,9,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,96,0.189723320,410,506
BREVARD,100028,PARRISH MEDICAL CENTER,67,0.374301676,112,179
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,34,0.203592814,133,167
BREVARD,100177,CAPE CANAVERAL HOSPITAL,86,0.614285714,54,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,60,60
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,20,0.173913043,95,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,129,0.781818182,36,165
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,9,0.15,51,60
BREVARD,23960092,VIERA HOSPITAL,27,0.321428571,57,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,29,0.630434783,17,46
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,141,0.185526316,619,760
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,27,0.0675,373,400
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,42,0.352941176,77,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,17,0.073913043,213,230
BROWARD,100073,HOLY CROSS HOSPITAL,133,0.382183908,215,348
BROWARD,100086,BROWARD HEALTH NORTH,0,0,219,219
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,12,0.226415094,41,53
BROWARD,100167,PLANTATION GENERAL HOSPITAL,115,0.438931298,147,262
BROWARD,100189,NORTHWEST MEDICAL CENTER,74,0.255172414,216,290
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,21,0.155555556,114,135
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,19,0.099476440,172,191
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,169,0.533123028,148,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,23,0.291139241,56,79
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,18,0.072,232,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,19,0.1,171,190
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,14,0.538461538,12,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,22,0.2,88,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,292,292
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,15,0.375,25,40
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,2,0.021276596,92,94
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,9,0.036144578,240,249
BROWARD,111527,MEMORIAL HOSPITAL WEST,36,0.077419355,429,465
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,31,0.174157303,147,178
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,7,0.7,3,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,63,0.272727273,168,231
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,62,0.280542986,159,221
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,99,0.391304348,154,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,57,0.279411765,147,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,18,0.193548387,75,93
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,12,0.203389831,47,59
CLAY,100226,ORANGE PARK MEDICAL CENTER,44,0.113695090,343,387
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,17,0.160377358,89,106
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,32,0.114695341,247,279
COLLIER,110043,"WILLOUGH AT NAPLES, THE",28,0.35,52,80
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,47,0.176029963,220,267
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,17,0.155963303,92,109
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,33,0.314285714,72,105
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,20,0.408163265,29,49
COLUMBIA,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,4,0.25,12,16
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,11,0.119565217,81,92
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,23,0.418181818,32,55
DUVAL,100001,UF HEALTH JACKSONVILLE,117,0.194029851,486,603
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,161,0.305502846,366,527
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,37,0.076604555,446,483
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,52,0.346666667,98,150
DUVAL,100151,MAYO CLINIC,33,0.108552632,271,304
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,192,0.384769539,307,499
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,3,0.021582734,136,139
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,6,0.272727273,16,22
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,32,0.380952381,52,84
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,34,0.112956811,267,301
DUVAL,23960061,WEKIVA SPRINGS,53,0.430894309,70,123
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,117,0.502145923,116,233
DUVAL,23960123,UF HEALTH NORTH,2,0.021739130,90,92
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,55,0.280612245,141,196
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,139,0.249103943,419,558
ESCAMBIA,100093,BAPTIST HOSPITAL,81,0.200495050,323,404
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,128,0.293577982,308,436
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,15,0.2,60,75
FLAGLER,100118,ADVENTHEALTH PALM COAST,12,0.121212121,87,99
FRANKLIN,100153,GEORGE E WEEMS MEMORIAL HOSPITAL,14,0.933333333,1,15
GADSDEN,100159,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",0,0,0,0
GADSDEN,104000,FLORIDA STATE HOSPITAL,0,0,0,0
