County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"16,006",0.264256232,"44,564","60,570"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,155,0.147900763,893,"1,048"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,47,0.096311475,441,488
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,5,0.083333333,55,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,22,0.271604938,59,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,4,0.083333333,44,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,8,0.666666667,4,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,151,0.246329527,462,613
BAY,100026,ASCENSION SACRED HEART BAY,15,0.109489051,122,137
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,31,0.130252101,207,238
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,23,0.267441860,63,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,6,0.130434783,40,46
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,11,0.366666667,19,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,81,0.159448819,427,508
BREVARD,100028,PARRISH MEDICAL CENTER,87,0.491525424,90,177
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,22,0.122222222,158,180
BREVARD,100177,CAPE CANAVERAL HOSPITAL,54,0.385714286,86,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,4,0.08,46,50
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,26,0.226086957,89,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,66,0.628571429,39,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,13,0.216666667,47,60
BREVARD,23960092,VIERA HOSPITAL,15,0.178571429,69,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,21,0.466666667,24,45
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,100,0.127713921,683,783
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,39,0.098236776,358,397
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,43,0.361344538,76,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,20,0.086956522,210,230
BROWARD,100073,HOLY CROSS HOSPITAL,146,0.419540230,202,348
BROWARD,100086,BROWARD HEALTH NORTH,17,0.071729958,220,237
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,25,0.390625,39,64
BROWARD,100167,PLANTATION GENERAL HOSPITAL,133,0.503787879,131,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,85,0.298245614,200,285
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,8,0.070796460,105,113
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,37,0.196808511,151,188
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,175,0.552050473,142,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,40,0.336134454,79,119
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,65,0.26,185,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,17,0.122302158,122,139
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,21,0.807692308,5,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,25,0.227272727,85,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,283,283
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,19,0.38,31,50
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0,0,92,92
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,22,0.127167630,151,173
BROWARD,111527,MEMORIAL HOSPITAL WEST,48,0.124352332,338,386
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,60,0.337078652,118,178
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,5,0.5,5,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,39,0.312,86,125
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,74,0.330357143,150,224
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,93,0.367588933,160,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,74,0.362745098,130,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,16,0.186046512,70,86
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,26,0.356164384,47,73
CLAY,100226,ORANGE PARK MEDICAL CENTER,44,0.123943662,311,355
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,23,0.201754386,91,114
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,34,0.126394052,235,269
COLLIER,110043,"WILLOUGH AT NAPLES, THE",21,0.259259259,60,81
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,57,0.2375,183,240
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0,0,109,109
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,43,0.43,57,100
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,20,0.4,30,50
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,0,0,103,103
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,49,0.890909091,6,55
DUVAL,100001,UF HEALTH JACKSONVILLE,110,0.182421227,493,603
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,205,0.398058252,310,515
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,49,0.108407080,403,452
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,50,0.333333333,100,150
DUVAL,100151,MAYO CLINIC,27,0.088815789,277,304
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,186,0.372745491,313,499
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,8,0.057553957,131,139
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,2,0.083333333,22,24
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,22,0.261904762,62,84
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,85,0.282392027,216,301
DUVAL,23960061,WEKIVA SPRINGS,53,0.389705882,83,136
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,102,0.492753623,105,207
DUVAL,23960123,UF HEALTH NORTH,3,0.03125,93,96
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,48,0.24,152,200
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,185,0.331541219,373,558
ESCAMBIA,100093,BAPTIST HOSPITAL,150,0.352112676,276,426
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,135,0.313953488,295,430
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,10,0.133333333,65,75
FLAGLER,100118,ADVENTHEALTH PALM COAST,6,0.060606061,93,99
FRANKLIN,100153,GEORGE E WEEMS MEMORIAL HOSPITAL,14,0.933333333,1,15
GADSDEN,100159,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",4,1,0,4
GADSDEN,104000,FLORIDA STATE HOSPITAL,208,0.219178082,741,949
GULF,23960084,ASCENSION SACRED HEART GULF,14,0.666666667,7,21
HARDEE,100282,ADVENTHEALTH WAUCHULA,2,0.08,23,25
HENDRY,100098,HENDRY REGIONAL MEDICAL CENTER,15,0.517241379,14,29
HERNANDO,100071,BAYFRONT HEALTH BROOKSVILLE,60,0.545454545,50,110
HERNANDO,100264,OAK HILL HOSPITAL,94,0.268571429,256,350
HERNANDO,110054,SPRINGBROOK HOSPITAL,0,0,65,65
HERNANDO,111525,BAYFRONT HEALTH SPRING HILL,109,0.762237762,34,143
HERNANDO,23960042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,27,0.3375,53,80
HIGHLANDS,100049,HIGHLANDS REGIONAL MEDICAL CENTER,29,0.453125,35,64
HIGHLANDS,100109,ADVENTHEALTH SEBRING,28,0.163742690,143,171
HIGHLANDS,120013,ADVENTHEALTH LAKE PLACID,8,0.380952381,13,21
HILLSBOROUGH,100069,ADVENTHEALTH CARROLLWOOD,23,0.227722772,78,101
HILLSBOROUGH,100075,ST JOSEPHS HOSPITAL,81,0.135906040,515,596
HILLSBOROUGH,100115,KINDRED HOSPITAL-BAY AREA-TAMPA,19,0.263888889,53,72
HILLSBOROUGH,100128,TAMPA GENERAL HOSPITAL,162,0.160873883,845,"1,007"
HILLSBOROUGH,100132,SOUTH FLORIDA BAPTIST HOSPITAL,8,0.093023256,78,86
HILLSBOROUGH,100143,KINDRED HOSPITAL-CENTRAL TAMPA,28,0.314606742,61,89
HILLSBOROUGH,100173,ADVENTHEALTH TAMPA,96,0.182509506,430,526
HILLSBOROUGH,100206,MEMORIAL HOSPITAL OF TAMPA,26,0.209677419,98,124
HILLSBOROUGH,100243,BRANDON REGIONAL HOSPITAL,146,0.296146045,347,493
HILLSBOROUGH,100255,TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA,19,0.365384615,33,52
HILLSBOROUGH,100259,SOUTH BAY HOSPITAL,14,0.168674699,69,83
HILLSBOROUGH,110009,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL,37,0.145098039,218,255
HILLSBOROUGH,23960100,ST JOSEPHS HOSPITAL NORTH,25,0.206611570,96,121
HILLSBOROUGH,23960105,ST JOSEPHS HOSPITAL SOUTH,43,0.300699301,100,143
