County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"17,130",0.279490945,"44,160","61,290"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,237,0.226577438,809,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,51,0.109442060,415,466
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,5,0.083333333,55,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,25,0.290697674,61,86
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,5,0.104166667,43,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,5,0.333333333,10,15
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,133,0.216965742,480,613
BAY,100026,ASCENSION SACRED HEART BAY,32,0.211920530,119,151
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,47,0.203463203,184,231
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,22,0.255813953,64,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,2,0.041666667,46,48
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,11,0.366666667,19,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,100,0.205761317,386,486
BREVARD,100028,PARRISH MEDICAL CENTER,84,0.474576271,93,177
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,63,0.348066298,118,181
BREVARD,100177,CAPE CANAVERAL HOSPITAL,60,0.428571429,80,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,61,61
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,19,0.165217391,96,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,54,0.514285714,51,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,19,0.316666667,41,60
BREVARD,23960092,VIERA HOSPITAL,38,0.463414634,44,82
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,6,0.136363636,38,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,193,0.207303974,738,931
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,21,0.054263566,366,387
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,50,0.420168067,69,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,38,0.165217391,192,230
BROWARD,100073,HOLY CROSS HOSPITAL,123,0.353448276,225,348
BROWARD,100086,BROWARD HEALTH NORTH,9,0.045918367,187,196
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,28,0.4375,36,64
BROWARD,100167,PLANTATION GENERAL HOSPITAL,151,0.571969697,113,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,106,0.364261168,185,291
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,4,0.034782609,111,115
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,27,0.135,173,200
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,146,0.460567823,171,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,13,0.109243697,106,119
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,59,0.236,191,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,28,0.201438849,111,139
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,13,0.5,13,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,27,0.245454545,83,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,292,292
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,2,0.04,48,50
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0,0,92,92
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,3,0.02,147,150
BROWARD,111527,MEMORIAL HOSPITAL WEST,47,0.124338624,331,378
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,79,0.443820225,99,178
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,6,0.6,4,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,20,0.157480315,107,127
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,72,0.317180617,155,227
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,74,0.292490119,179,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,79,0.387254902,125,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,16,0.161616162,83,99
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,28,0.383561644,45,73
CLAY,100226,ORANGE PARK MEDICAL CENTER,50,0.139275766,309,359
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,23,0.182539683,103,126
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,47,0.190283401,200,247
COLLIER,110043,"WILLOUGH AT NAPLES, THE",17,0.195402299,70,87
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,42,0.168,208,250
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,8,0.073394495,101,109
