County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"15,165",0.250437626,"45,389","60,554"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,154,0.147227533,892,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,48,0.102127660,422,470
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,8,0.133333333,52,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,24,0.3,56,80
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,2,0.041666667,46,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,7,0.583333333,5,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,148,0.241435563,465,613
BAY,100026,ASCENSION SACRED HEART BAY,25,0.177304965,116,141
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,33,0.130434783,220,253
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,20,0.232558140,66,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,14,0.25,42,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,11,0.366666667,19,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,59,0.116600791,447,506
BREVARD,100028,PARRISH MEDICAL CENTER,77,0.442528736,97,174
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,42,0.24,133,175
BREVARD,100177,CAPE CANAVERAL HOSPITAL,40,0.285714286,100,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,26,0.52,24,50
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,21,0.182608696,94,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,72,0.685714286,33,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,13,0.216666667,47,60
BREVARD,23960092,VIERA HOSPITAL,2,0.023809524,82,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,13,0.295454545,31,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,124,0.156763590,667,791
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,50,0.117096019,377,427
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,43,0.361344538,76,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,5,0.021739130,225,230
BROWARD,100073,HOLY CROSS HOSPITAL,141,0.405172414,207,348
BROWARD,100086,BROWARD HEALTH NORTH,9,0.038793103,223,232
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,23,0.359375,41,64
BROWARD,100167,PLANTATION GENERAL HOSPITAL,156,0.590909091,108,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,96,0.331034483,194,290
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,21,0.189189189,90,111
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,19,0.102702703,166,185
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,145,0.457413249,172,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,35,0.294117647,84,119
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,46,0.184,204,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,44,0.241758242,138,182
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,21,0.807692308,5,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,21,0.190909091,89,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,284,284
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,22,0.44,28,50
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,3,0.031578947,92,95
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,15,0.082872928,166,181
BROWARD,111527,MEMORIAL HOSPITAL WEST,27,0.069948187,359,386
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,38,0.213483146,140,178
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,4,0.4,6,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,30,0.236220472,97,127
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,71,0.297071130,168,239
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,108,0.426877470,145,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,60,0.294117647,144,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,9,0.098901099,82,91
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,32,0.438356164,41,73
CLAY,100226,ORANGE PARK MEDICAL CENTER,57,0.160112360,299,356
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,24,0.176470588,112,136
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,46,0.154362416,252,298
COLLIER,110043,"WILLOUGH AT NAPLES, THE",21,0.259259259,60,81
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,45,0.173076923,215,260
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,8,0.073394495,101,109
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,38,0.38,62,100
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,21,0.42,29,50
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,0,0,94,94
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,39,0.709090909,16,55
DUVAL,100001,UF HEALTH JACKSONVILLE,126,0.208955224,477,603
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,200,0.390625,312,512
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,31,0.067099567,431,462
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,50,0.333333333,100,150
DUVAL,100151,MAYO CLINIC,43,0.141447368,261,304
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,192,0.384769539,307,499
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,0,0,139,139
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,2,0.090909091,20,22
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,29,0.345238095,55,84
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,60,0.199335548,241,301
DUVAL,23960061,WEKIVA SPRINGS,53,0.392592593,82,135
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,131,0.501915709,130,261
DUVAL,23960123,UF HEALTH NORTH,15,0.163043478,77,92
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,54,0.272727273,144,198
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,149,0.267025090,409,558
ESCAMBIA,100093,BAPTIST HOSPITAL,127,0.306763285,287,414
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,138,0.320930233,292,430
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,8,0.106666667,67,75
FLAGLER,100118,ADVENTHEALTH PALM COAST,14,0.141414141,85,99
FRANKLIN,100153,GEORGE E WEEMS MEMORIAL HOSPITAL,14,0.933333333,1,15
GADSDEN,100159,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",4,1,0,4
GADSDEN,104000,FLORIDA STATE HOSPITAL,200,0.210748156,749,949
GULF,23960084,ASCENSION SACRED HEART GULF,15,0.714285714,6,21
HARDEE,100282,ADVENTHEALTH WAUCHULA,2,0.08,23,25
HENDRY,100098,HENDRY REGIONAL MEDICAL CENTER,23,0.793103448,6,29
HERNANDO,100071,BAYFRONT HEALTH BROOKSVILLE,49,0.445454545,61,110
HERNANDO,100264,OAK HILL HOSPITAL,102,0.291428571,248,350
HERNANDO,110054,SPRINGBROOK HOSPITAL,0,0,67,67
HERNANDO,111525,BAYFRONT HEALTH SPRING HILL,105,0.704697987,44,149
HERNANDO,23960042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,26,0.325,54,80
HIGHLANDS,100049,HIGHLANDS REGIONAL MEDICAL CENTER,34,0.53125,30,64
HIGHLANDS,100109,ADVENTHEALTH SEBRING,18,0.127659574,123,141
HIGHLANDS,120013,ADVENTHEALTH LAKE PLACID,10,0.416666667,14,24
HILLSBOROUGH,100069,ADVENTHEALTH CARROLLWOOD,19,0.193877551,79,98
HILLSBOROUGH,100075,ST JOSEPHS HOSPITAL,55,0.100182149,494,549
HILLSBOROUGH,100115,KINDRED HOSPITAL-BAY AREA-TAMPA,23,0.323943662,48,71
