County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"18,340",0.301406784,"42,508","60,848"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,208,0.198852772,838,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,53,0.109730849,430,483
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,14,0.233333333,46,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,24,0.296296296,57,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,6,0.125,42,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,11,0.916666667,1,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,96,0.156606852,517,613
BAY,100026,ASCENSION SACRED HEART BAY,61,0.406666667,89,150
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,50,0.216450216,181,231
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,31,0.360465116,55,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,4,0.071428571,52,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,4,0.133333333,26,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,170,0.329457364,346,516
BREVARD,100028,PARRISH MEDICAL CENTER,79,0.446327684,98,177
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,50,0.264550265,139,189
BREVARD,100177,CAPE CANAVERAL HOSPITAL,72,0.514285714,68,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,4,0.066666667,56,60
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,28,0.243478261,87,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,70,0.673076923,34,104
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,15,0.25,45,60
BREVARD,23960092,VIERA HOSPITAL,29,0.345238095,55,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,21,0.456521739,25,46
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,289,0.36125,511,800
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,38,0.097435897,352,390
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,40,0.336134454,79,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,92,0.2,368,460
BROWARD,100073,HOLY CROSS HOSPITAL,124,0.356321839,224,348
BROWARD,100086,BROWARD HEALTH NORTH,6,0.028037383,208,214
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,21,0.328125,43,64
BROWARD,100167,PLANTATION GENERAL HOSPITAL,121,0.504166667,119,240
BROWARD,100189,NORTHWEST MEDICAL CENTER,101,0.348275862,189,290
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,0,0,97,97
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,41,0.210256410,154,195
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,183,0.577287066,134,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,29,0.243697479,90,119
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,55,0.22,195,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,23,0.153333333,127,150
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,19,0.730769231,7,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,32,0.290909091,78,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,306,306
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,24,0.48,26,50
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,2,0.021276596,92,94
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,14,0.102941176,122,136
BROWARD,111527,MEMORIAL HOSPITAL WEST,53,0.148459384,304,357
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,73,0.410112360,105,178
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,6,0.6,4,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,34,0.267716535,93,127
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,89,0.370833333,151,240
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,96,0.379446640,157,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,65,0.318627451,139,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,11,0.120879121,80,91
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,14,0.191780822,59,73
CLAY,100226,ORANGE PARK MEDICAL CENTER,46,0.126721763,317,363
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,27,0.214285714,99,126
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,45,0.168539326,222,267
COLLIER,110043,"WILLOUGH AT NAPLES, THE",18,0.206896552,69,87
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,35,0.151515152,196,231
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,6,0.055045872,103,109
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,29,0.29,71,100
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,19,0.38,31,50
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,14,0.153846154,77,91
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,25,0.431034483,33,58
DUVAL,100001,UF HEALTH JACKSONVILLE,142,0.235489221,461,603
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,216,0.421875,296,512
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,154,0.318181818,330,484
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,61,0.406666667,89,150
DUVAL,100151,MAYO CLINIC,79,0.259868421,225,304
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,204,0.408817635,295,499
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,22,0.158273381,117,139
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,2,0.064516129,29,31
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,42,0.5,42,84
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,101,0.313664596,221,322
DUVAL,23960061,WEKIVA SPRINGS,59,0.546296296,49,108
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,84,0.401913876,125,209
DUVAL,23960123,UF HEALTH NORTH,13,0.141304348,79,92
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,78,0.393939394,120,198
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,185,0.341328413,357,542
ESCAMBIA,100093,BAPTIST HOSPITAL,83,0.194835681,343,426
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,158,0.382566586,255,413
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,7,0.093333333,68,75
FLAGLER,100118,ADVENTHEALTH PALM COAST,9,0.090909091,90,99
FRANKLIN,100153,GEORGE E WEEMS MEMORIAL HOSPITAL,13,0.866666667,2,15
GADSDEN,100159,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",4,1,0,4
GADSDEN,104000,FLORIDA STATE HOSPITAL,402,0.423603793,547,949
GULF,23960084,ASCENSION SACRED HEART GULF,19,0.904761905,2,21
HARDEE,100282,ADVENTHEALTH WAUCHULA,1,0.04,24,25
HENDRY,100098,HENDRY REGIONAL MEDICAL CENTER,25,0.806451613,6,31
HERNANDO,100071,BAYFRONT HEALTH BROOKSVILLE,47,0.427272727,63,110
HERNANDO,100264,OAK HILL HOSPITAL,100,0.289017341,246,346
HERNANDO,110054,SPRINGBROOK HOSPITAL,0,0,60,60
HERNANDO,111525,BAYFRONT HEALTH SPRING HILL,71,0.568,54,125
HERNANDO,23960042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,30,0.375,50,80
HIGHLANDS,100049,HIGHLANDS REGIONAL MEDICAL CENTER,32,0.492307692,33,65
HIGHLANDS,100109,ADVENTHEALTH SEBRING,50,0.292397661,121,171
HIGHLANDS,120013,ADVENTHEALTH LAKE PLACID,4,0.16,21,25
HILLSBOROUGH,100069,ADVENTHEALTH CARROLLWOOD,16,0.175824176,75,91
HILLSBOROUGH,100075,ST JOSEPHS HOSPITAL,240,0.345821326,454,694
HILLSBOROUGH,100115,KINDRED HOSPITAL-BAY AREA-TAMPA,18,0.246575342,55,73
HILLSBOROUGH,100128,TAMPA GENERAL HOSPITAL,269,0.253773585,791,"1,060"
HILLSBOROUGH,100132,SOUTH FLORIDA BAPTIST HOSPITAL,29,0.256637168,84,113
