County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"16,608",0.275921649,"43,583","60,191"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,204,0.195028681,842,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,44,0.094017094,424,468
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,22,0.366666667,38,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,5,0.061728395,76,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,3,0.0625,45,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,7,0.583333333,5,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,157,0.256117455,456,613
BAY,100026,ASCENSION SACRED HEART BAY,19,0.146153846,111,130
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,43,0.186147186,188,231
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,19,0.220930233,67,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0,0,40,40
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,8,0.266666667,22,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,126,0.254032258,370,496
BREVARD,100028,PARRISH MEDICAL CENTER,71,0.408045977,103,174
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,53,0.269035533,144,197
BREVARD,100177,CAPE CANAVERAL HOSPITAL,64,0.457142857,76,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,57,57
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,23,0.219047619,82,105
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,65,0.684210526,30,95
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,15,0.25,45,60
BREVARD,23960092,VIERA HOSPITAL,18,0.243243243,56,74
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,12,0.260869565,34,46
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,182,0.223312883,633,815
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,40,0.099255583,363,403
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,40,0.336134454,79,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,40,0.173913043,190,230
BROWARD,100073,HOLY CROSS HOSPITAL,168,0.482758621,180,348
BROWARD,100086,BROWARD HEALTH NORTH,8,0.035087719,220,228
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,27,0.421875,37,64
BROWARD,100167,PLANTATION GENERAL HOSPITAL,141,0.534090909,123,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,129,0.441780822,163,292
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,2,0.017543860,112,114
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,42,0.217616580,151,193
