County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"14,861",0.244673845,"45,877","60,738"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,141,0.134799235,905,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,55,0.118025751,411,466
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,8,0.133333333,52,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,23,0.283950617,58,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,0,0,47,47
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,5,0.416666667,7,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,142,0.231647635,471,613
BAY,100026,ASCENSION SACRED HEART BAY,42,0.256097561,122,164
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,59,0.255411255,172,231
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,18,0.209302326,68,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,10,0.181818182,45,55
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,7,0.233333333,23,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,66,0.130434783,440,506
BREVARD,100028,PARRISH MEDICAL CENTER,84,0.48,91,175
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,44,0.251428571,131,175
BREVARD,100177,CAPE CANAVERAL HOSPITAL,57,0.407142857,83,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,18,18
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,29,0.252173913,86,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,63,0.6,42,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,12,0.2,48,60
BREVARD,23960092,VIERA HOSPITAL,11,0.130952381,73,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,20,0.454545455,24,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,110,0.15625,594,704
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,36,0.087591241,375,411
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,33,0.277310924,86,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,30,0.130434783,200,230
BROWARD,100073,HOLY CROSS HOSPITAL,143,0.410919540,205,348
BROWARD,100086,BROWARD HEALTH NORTH,12,0.050847458,224,236
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,23,0.359375,41,64
BROWARD,100167,PLANTATION GENERAL HOSPITAL,128,0.484848485,136,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,112,0.380952381,182,294
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,14,0.122807018,100,114
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,33,0.175531915,155,188
