County,FileNumber,ProviderName,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Available Pediatric ICU,Available Pediatric ICU%,Pediatric ICU Census,Total AdultICU Capacity,Total PediatricICU Capacity
All,All,All,"4,443","1,629",0.268280632,262,0.403697997,387,"6,072",649
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,225,35,0.134615385,8,0.170212766,39,260,47
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,44,4,0.083333333,0,0,0,48,0
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,0,0,0,0,0,0,0,0
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0,0,0,0,0,0,0,0
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,0,0,0,0,0,0,0,0
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,0,0,0,0,0,0,0,0
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
BAY,100026,ASCENSION SACRED HEART BAY,29,13,0.309523810,0,0,0,42,0
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,17,3,0.15,3,0.75,1,20,4
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,0,0,0,0,0,0,0,0
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0,0,0,0,0,0,0,0
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0,0,0,0,0,0,0,0
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0,0,0,0,0,0,0,0
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,45,13,0.224137931,0,0,0,58,0
BREVARD,100028,PARRISH MEDICAL CENTER,5,7,0.583333333,0,0,0,12,0
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,27,4,0.129032258,0,0,0,31,0
BREVARD,100177,CAPE CANAVERAL HOSPITAL,11,1,0.083333333,0,0,0,12,0
BREVARD,104024,"CIRCLES OF CARE, INC",0,0,0,0,0,0,0,0
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,0,0,0,0,0,0
BREVARD,110036,DEVEREUX FLORIDA,0,0,0,0,0,0,0,0
BREVARD,120007,PALM BAY HOSPITAL,11,1,0.083333333,0,0,0,12,0
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,7,5,0.416666667,0,0,0,12,0
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,6,2,0.25,0,0,0,8,0
BREVARD,23960092,VIERA HOSPITAL,13,7,0.35,0,0,0,20,0
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,0,0,0,0,0,0,0,0
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,40,32,0.444444444,5,0.166666667,25,72,30
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,33,0,0,0,0,7,33,7
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,7,1,0.125,0,0,0,8,0
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,34,14,0.291666667,0,0,0,48,0
BROWARD,100073,HOLY CROSS HOSPITAL,36,6,0.142857143,10,0.833333333,2,42,12
BROWARD,100086,BROWARD HEALTH NORTH,31,2,0.060606061,0,0,0,33,0
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,5,3,0.375,0,0,0,8,0
BROWARD,100167,PLANTATION GENERAL HOSPITAL,14,6,0.3,5,0.625,3,20,8
BROWARD,100189,NORTHWEST MEDICAL CENTER,12,18,0.6,0,0,0,30,0
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,8,0,0,0,0,0,8,0
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,20,16,0.444444444,0,0,0,36,0
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,7,8,0.533333333,0,0,0,15,0
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,0,0,0,0,0,0,0,0
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,25,7,0.21875,0,0,0,32,0
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,9,1,0.1,0,0,0,10,0
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,0,0,0,0,0,0,0,0
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0,0,0,0,0,0,0,0
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0,0,0,0,0,0,0,0
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0,0,0,0,0,0,0,0
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,12,1,0.076923077,4,1,0,13,4
BROWARD,111527,MEMORIAL HOSPITAL WEST,27,0,0,0,0,0,27,0
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,13,5,0.277777778,0,0,0,18,0
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,0,0,0,0,0,0,0,0
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,10,2,0.166666667,0,0,0,12,0
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,15,4,0.210526316,0,0,0,19,0
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,15,4,0.210526316,0,0,0,19,0
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,13,11,0.458333333,0,0,0,24,0
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,15,1,0.0625,0,0,0,16,0
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,6,0,0,0,0,0,6,0
CLAY,100226,ORANGE PARK MEDICAL CENTER,23,5,0.178571429,1,0.25,3,28,4
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,11,4,0.266666667,0,0,0,15,0
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,17,14,0.451612903,0,0,0,31,0
COLLIER,110043,"WILLOUGH AT NAPLES, THE",0,0,0,0,0,0,0,0
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,4,12,0.75,0,0,0,16,0
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,13,3,0.1875,0,0,0,16,0
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,6,6,0.5,0,0,0,12,0
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,8,2,0.2,0,0,0,10,0
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,17,0,0,0,0,0,17,0
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,3,5,0.625,0,0,0,8,0
DUVAL,100001,UF HEALTH JACKSONVILLE,78,22,0.22,4,0.5,4,100,8
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,30,38,0.558823529,0,0,0,68,0
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,46,26,0.361111111,0,0,0,72,0
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,21,3,0.125,0,0,0,24,0
DUVAL,100151,MAYO CLINIC,46,8,0.148148148,0,0,0,54,0
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,30,12,0.285714286,0,0,0,42,0
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,0,0,0,0,0,0,0,0
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,0,0,0,0,0,0,0,0
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,0,0,0,0,0,0,0,0
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,25,10,0.285714286,0,0,0,35,0
DUVAL,23960061,WEKIVA SPRINGS,0,0,0,0,0,0,0,0
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,10,8,0.444444444,0,0,0,18,0
DUVAL,23960123,UF HEALTH NORTH,21,3,0.125,0,0,0,24,0
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,0,0,0,14,0.4375,18,0,32
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,49,2,0.039215686,6,0.6,4,51,10
