County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"14,658",0.241125185,"46,132","60,790"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,140,0.133843212,906,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,49,0.103594080,424,473
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,3,0.05,57,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,33,0.407407407,48,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,1,0.020833333,47,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,9,0.75,3,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,164,0.267536705,449,613
BAY,100026,ASCENSION SACRED HEART BAY,22,0.158273381,117,139
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,33,0.141630901,200,233
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,18,0.209302326,68,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,6,0.133333333,39,45
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,4,0.133333333,26,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,82,0.163021869,421,503
BREVARD,100028,PARRISH MEDICAL CENTER,43,0.247126437,131,174
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,63,0.333333333,126,189
BREVARD,100177,CAPE CANAVERAL HOSPITAL,64,0.457142857,76,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,3,0.054545455,52,55
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,30,0.260869565,85,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,58,0.552380952,47,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,18,0.3,42,60
BREVARD,23960092,VIERA HOSPITAL,4,0.054054054,70,74
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,14,0.318181818,30,44
