County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"13,253",0.219300713,"47,180","60,433"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,163,0.155831740,883,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,37,0.077405858,441,478
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,6,0.1,54,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,24,0.296296296,57,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,1,0.020833333,47,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,5,0.416666667,7,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,495,0.807504078,118,613
BAY,100026,ASCENSION SACRED HEART BAY,20,0.123456790,142,162
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,38,0.164502165,193,231
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,20,0.232558140,66,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,24,0.428571429,32,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,20,0.666666667,10,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,112,0.237288136,360,472
BREVARD,100028,PARRISH MEDICAL CENTER,51,0.293103448,123,174
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,40,0.224719101,138,178
BREVARD,100177,CAPE CANAVERAL HOSPITAL,58,0.414285714,82,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,4,0.065573770,57,61
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,25,0.217391304,90,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,62,0.590476190,43,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,13,0.216666667,47,60
BREVARD,23960092,VIERA HOSPITAL,7,0.083333333,77,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,21,0.477272727,23,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,136,0.146393972,793,929
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,14,0.033980583,398,412
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,44,0.369747899,75,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,30,0.130434783,200,230
BROWARD,100073,HOLY CROSS HOSPITAL,116,0.333333333,232,348
BROWARD,100086,BROWARD HEALTH NORTH,0,0,231,231
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,13,0.245283019,40,53
BROWARD,100167,PLANTATION GENERAL HOSPITAL,120,0.454545455,144,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,58,0.200692042,231,289
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,3,0.021126761,139,142
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,24,0.125654450,167,191
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,140,0.441640379,177,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,28,0.235294118,91,119
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,32,0.128,218,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,4,0.022598870,173,177
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,13,0.5,13,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,31,0.281818182,79,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,297,297
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,7,0.175,33,40
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,2,0.021276596,92,94
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,13,0.076023392,158,171
BROWARD,111527,MEMORIAL HOSPITAL WEST,36,0.076923077,432,468
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,22,0.123595506,156,178
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,5,0.5,5,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,66,0.286956522,164,230
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,49,0.222727273,171,220
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,108,0.426877470,145,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,63,0.308823529,141,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,9,0.098901099,82,91
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,22,0.372881356,37,59
CLAY,100226,ORANGE PARK MEDICAL CENTER,57,0.147286822,330,387
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,7,0.0546875,121,128
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,49,0.173758865,233,282
COLLIER,110043,"WILLOUGH AT NAPLES, THE",18,0.243243243,56,74
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,53,0.199248120,213,266
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,5,0.047619048,100,105
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,27,0.27,73,100
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,20,0.4,30,50
COLUMBIA,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,14,0.424242424,19,33
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,0,0,99,99
