County,FileNumber,ProviderName,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Available Pediatric ICU,Available Pediatric ICU%,Pediatric ICU Census,Total AdultICU Capacity,Total PediatricICU Capacity
All,All,All,"5,212",990,0.159625927,249,0.396496815,379,"6,202",628
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,243,17,0.065384615,14,0.297872340,33,260,47
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,45,1,0.021739130,0,0,0,46,0
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,0,0,0,0,0,0,0,0
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0,0,0,0,0,0,0,0
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,0,0,0,0,0,0,0,0
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,0,0,0,0,0,0,0,0
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
BAY,100026,ASCENSION SACRED HEART BAY,44,16,0.266666667,0,0,0,60,0
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,18,2,0.1,4,0.8,1,20,5
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,0,0,0,0,0,0,0,0
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0,0,0,0,0,0,0,0
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0,0,0,0,0,0,0,0
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0,0,0,0,0,0,0,0
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,56,12,0.176470588,0,0,0,68,0
BREVARD,100028,PARRISH MEDICAL CENTER,11,1,0.083333333,0,0,0,12,0
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,23,8,0.258064516,0,0,0,31,0
BREVARD,100177,CAPE CANAVERAL HOSPITAL,12,0,0,0,0,0,12,0
BREVARD,104024,"CIRCLES OF CARE, INC",0,0,0,0,0,0,0,0
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,0,0,0,0,0,0
BREVARD,110036,DEVEREUX FLORIDA,0,0,0,0,0,0,0,0
BREVARD,120007,PALM BAY HOSPITAL,7,5,0.416666667,0,0,0,12,0
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,7,5,0.416666667,0,0,0,12,0
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,7,1,0.125,0,0,0,8,0
BREVARD,23960092,VIERA HOSPITAL,16,4,0.2,0,0,0,20,0
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,0,0,0,0,0,0,0,0
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,62,11,0.150684932,17,0.566666667,13,73,30
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,42,4,0.086956522,0,0,10,46,10
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,6,2,0.25,0,0,0,8,0
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,40,8,0.166666667,0,0,0,48,0
BROWARD,100073,HOLY CROSS HOSPITAL,32,10,0.238095238,7,0.583333333,5,42,12
BROWARD,100086,BROWARD HEALTH NORTH,35,0,0,0,0,0,35,0
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,6,2,0.25,0,0,0,8,0
BROWARD,100167,PLANTATION GENERAL HOSPITAL,17,3,0.15,8,1,0,20,8
BROWARD,100189,NORTHWEST MEDICAL CENTER,28,2,0.066666667,0,0,0,30,0
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,9,0,0,0,0,0,9,0
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,32,4,0.111111111,0,0,0,36,0
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,14,1,0.066666667,0,0,0,15,0
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,0,0,0,0,0,0,0,0
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,40,0,0,0,0,0,40,0
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,20,3,0.130434783,0,0,0,23,0
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,0,0,0,0,0,0,0,0
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0,0,0,0,0,0,0,0
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0,0,0,0,0,0,0,0
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0,0,0,0,0,0,0,0
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,21,0,0,0,0,0,21,0
BROWARD,111527,MEMORIAL HOSPITAL WEST,49,0,0,0,0,0,49,0
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,22,0,0,0,0,0,22,0
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,0,0,0,0,0,0,0,0
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,8,3,0.272727273,0,0,0,11,0
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,24,5,0.172413793,0,0,0,29,0
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,19,0,0,0,0,0,19,0
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,19,5,0.208333333,0,0,0,24,0
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,14,3,0.176470588,0,0,0,17,0
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,6,0,0,0,0,0,6,0
CLAY,100226,ORANGE PARK MEDICAL CENTER,26,2,0.071428571,13,0.928571429,1,28,14
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,7,1,0.125,0,0,0,8,0
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,24,7,0.225806452,0,0,0,31,0
COLLIER,110043,"WILLOUGH AT NAPLES, THE",0,0,0,0,0,0,0,0
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,9,7,0.4375,0,0,0,16,0
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,11,1,0.083333333,0,0,0,12,0
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,10,2,0.166666667,0,0,0,12,0
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,9,1,0.1,0,0,0,10,0
COLUMBIA,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,2,2,0.5,0,0,0,4,0
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,11,0,0,0,0,0,11,0
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,4,4,0.5,0,0,0,8,0
DUVAL,100001,UF HEALTH JACKSONVILLE,97,3,0.03,2,0.25,6,100,8
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,40,28,0.411764706,0,0,0,68,0
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,48,28,0.368421053,0,0,0,76,0
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,20,4,0.166666667,0,0,0,24,0
DUVAL,100151,MAYO CLINIC,35,19,0.351851852,0,0,0,54,0
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,27,15,0.357142857,0,0,0,42,0
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,0,0,0,0,0,0,0,0
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,0,0,0,0,0,0,0,0
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,0,0,0,0,0,0,0,0
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,29,6,0.171428571,0,0,0,35,0
DUVAL,23960061,WEKIVA SPRINGS,0,0,0,0,0,0,0,0
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,14,4,0.222222222,0,0,0,18,0
DUVAL,23960123,UF HEALTH NORTH,22,2,0.083333333,0,0,0,24,0
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,0,0,0,16,0.5,16,0,32
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,39,12,0.235294118,2,0.2,8,51,10
ESCAMBIA,100093,BAPTIST HOSPITAL,47,1,0.020833333,0,0,0,48,0
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,35,1,0.027777778,6,1,0,36,6
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,5,1,0.166666667,0,0,0,6,0
FLAGLER,100118,ADVENTHEALTH PALM COAST,16,2,0.111111111,0,0,0,18,0
FRANKLIN,100153,GEORGE E WEEMS MEMORIAL HOSPITAL,0,0,0,0,0,0,0,0
GADSDEN,100159,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",0,0,0,0,0,0,0,0
GADSDEN,104000,FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
GULF,23960084,ASCENSION SACRED HEART GULF,0,0,0,0,0,0,0,0
HARDEE,100282,ADVENTHEALTH WAUCHULA,0,0,0,0,0,0,0,0
HENDRY,100098,HENDRY REGIONAL MEDICAL CENTER,0,0,0,0,0,0,0,0
HERNANDO,100071,BAYFRONT HEALTH BROOKSVILLE,18,0,0,0,0,0,18,0
HERNANDO,100264,OAK HILL HOSPITAL,36,0,0,0,0,0,36,0
HERNANDO,110054,SPRINGBROOK HOSPITAL,0,0,0,0,0,0,0,0
HERNANDO,111525,BAYFRONT HEALTH SPRING HILL,8,0,0,0,0,0,8,0
HERNANDO,23960042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,0,0,0,0,0,0,0,0
HIGHLANDS,100049,HIGHLANDS REGIONAL MEDICAL CENTER,13,3,0.1875,0,0,0,16,0
