County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"14,041",0.230210519,"46,951","60,992"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,161,0.153625954,887,"1,048"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,57,0.117525773,428,485
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,8,0.133333333,52,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,29,0.358024691,52,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,1,0.020833333,47,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,4,0.333333333,8,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,487,0.794453507,126,613
BAY,100026,ASCENSION SACRED HEART BAY,33,0.207547170,126,159
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,43,0.183760684,191,234
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,20,0.232558140,66,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,28,0.5,28,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,16,0.533333333,14,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,87,0.171936759,419,506
BREVARD,100028,PARRISH MEDICAL CENTER,73,0.407821229,106,179
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,39,0.207446809,149,188
BREVARD,100177,CAPE CANAVERAL HOSPITAL,67,0.478571429,73,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,3,0.054545455,52,55
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,6,0.052173913,109,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,62,0.590476190,43,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,8,0.133333333,52,60
BREVARD,23960092,VIERA HOSPITAL,10,0.119047619,74,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,21,0.477272727,23,44
