County,COVID Hospitalizations
ALACHUA,124
BAKER,34
BAY,91
BRADFORD,0
BREVARD,133
BROWARD,"1,313"
CALHOUN,1
CHARLOTTE,65
CITRUS,29
CLAY,80
COLLIER,162
COLUMBIA,37
DESOTO,3
DUVAL,512
ESCAMBIA,202
FLAGLER,21
FRANKLIN,0
GADSDEN,14
GULF,1
HARDEE,0
HENDRY,8
HERNANDO,74
HIGHLANDS,55
HILLSBOROUGH,585
HOLMES,1
INDIAN RIVER,25
JACKSON,23
LAKE,111
LEE,261
LEON,72
MADISON,0
MANATEE,133
MARION,99
MARTIN,43
MIAMI-DADE,"2,006"
MONROE,21
NASSAU,3
OKALOOSA,42
OKEECHOBEE,16
ORANGE,585
OSCEOLA,239
PALM BEACH,605
PASCO,134
PINELLAS,449
POLK,297
PUTNAM,17
SANTA ROSA,21
SARASOTA,158
SEMINOLE,177
ST. JOHNS,42
ST. LUCIE,156
SUMTER,33
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,151
WALTON,9
WASHINGTON,3
All,"9,476"
