County,COVID Hospitalizations
ALACHUA,60
BAKER,2
BAY,18
BRADFORD,0
BREVARD,62
BROWARD,186
CALHOUN,0
CHARLOTTE,27
CITRUS,22
CLAY,31
COLLIER,27
COLUMBIA,25
DESOTO,1
DUVAL,119
ESCAMBIA,32
FLAGLER,9
FRANKLIN,0
GADSDEN,7
GULF,0
HARDEE,0
HENDRY,3
HERNANDO,24
HIGHLANDS,18
HILLSBOROUGH,134
HOLMES,0
INDIAN RIVER,7
JACKSON,6
LAKE,37
LEE,47
LEON,31
MADISON,0
MANATEE,27
MARION,30
MARTIN,5
MIAMI-DADE,264
MONROE,7
NASSAU,1
OKALOOSA,19
OKEECHOBEE,6
ORANGE,122
OSCEOLA,79
PALM BEACH,99
PASCO,38
PINELLAS,120
POLK,74
PUTNAM,5
SANTA ROSA,5
SARASOTA,45
SEMINOLE,30
ST. JOHNS,10
ST. LUCIE,37
SUMTER,15
SUWANNEE,0
TAYLOR,0
UNION,14
VOLUSIA,51
WALTON,9
WASHINGTON,2
All,"2,049"
