County,COVID Hospitalizations
ALACHUA,117
BAKER,34
BAY,84
BRADFORD,0
BREVARD,138
BROWARD,"1,422"
CALHOUN,2
CHARLOTTE,67
CITRUS,30
CLAY,74
COLLIER,160
COLUMBIA,36
DESOTO,3
DUVAL,517
ESCAMBIA,204
FLAGLER,21
FRANKLIN,0
GADSDEN,34
GULF,1
HARDEE,0
HENDRY,9
HERNANDO,89
HIGHLANDS,55
HILLSBOROUGH,613
HOLMES,1
INDIAN RIVER,23
JACKSON,25
LAKE,104
LEE,256
LEON,81
MADISON,0
MANATEE,135
MARION,101
MARTIN,43
MIAMI-DADE,"1,996"
MONROE,22
NASSAU,3
OKALOOSA,40
OKEECHOBEE,13
ORANGE,594
OSCEOLA,231
PALM BEACH,604
PASCO,128
PINELLAS,433
POLK,297
PUTNAM,17
SANTA ROSA,27
SARASOTA,155
SEMINOLE,177
ST. JOHNS,42
ST. LUCIE,164
SUMTER,29
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,152
WALTON,8
WASHINGTON,4
All,"9,615"
