County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,908
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,108
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.106299213
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,016"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,439
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,44
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.091097308
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,483
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,52
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,8
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.133333333
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,60
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,50
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,31
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.382716049
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,81
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,47
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,1
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0.020833333
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,48
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,2
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,10
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.833333333
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,12
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,465
