County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,861
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,185
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.176864245
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,346
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,78
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.183962264
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,424
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,41
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,9
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.18
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,50
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,63
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,21
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.25
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,84
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,43
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,5
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0.104166667
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,48
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,3
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,9
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.75
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,12
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,108
BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,505
BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.823817292
BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,126
BAY,100026,Available,ASCENSION SACRED HEART BAY,40
BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.240963855
BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,166
BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,185
BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,57
BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.235537190
BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,242
BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,61
BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,25
BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.290697674
BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,42
BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,14
BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0.25
BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,56
BAY,23960045,Bed Census,SELECT SPECIALTY HOSPITAL - PANAMA CITY,2
BAY,23960045,Available,SELECT SPECIALTY HOSPITAL - PANAMA CITY,28
BAY,23960045,Available Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0.933333333
BAY,23960045,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,30
BRADFORD,100103,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0.5
BRADFORD,100103,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,10
BREVARD,100019,Bed Census,HOLMES REGIONAL MEDICAL CENTER,405
BREVARD,100019,Available,HOLMES REGIONAL MEDICAL CENTER,101
BREVARD,100019,Available Capacity,HOLMES REGIONAL MEDICAL CENTER,0.199604743
BREVARD,100019,Total Staffed Bed Capacity,HOLMES REGIONAL MEDICAL CENTER,506
BREVARD,100028,Bed Census,PARRISH MEDICAL CENTER,120
BREVARD,100028,Available,PARRISH MEDICAL CENTER,34
BREVARD,100028,Available Capacity,PARRISH MEDICAL CENTER,0.220779221
BREVARD,100028,Total Staffed Bed Capacity,PARRISH MEDICAL CENTER,154
BREVARD,100092,Bed Census,ROCKLEDGE REGIONAL MEDICAL CENTER,136
BREVARD,100092,Available,ROCKLEDGE REGIONAL MEDICAL CENTER,39
BREVARD,100092,Available Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,0.222857143
BREVARD,100092,Total Staffed Bed Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,175
BREVARD,100177,Bed Census,CAPE CANAVERAL HOSPITAL,63
BREVARD,100177,Available,CAPE CANAVERAL HOSPITAL,77
BREVARD,100177,Available Capacity,CAPE CANAVERAL HOSPITAL,0.55
BREVARD,100177,Total Staffed Bed Capacity,CAPE CANAVERAL HOSPITAL,140
BREVARD,104024,Bed Census,"CIRCLES OF CARE, INC",32
BREVARD,104024,Available,"CIRCLES OF CARE, INC",20
BREVARD,104024,Available Capacity,"CIRCLES OF CARE, INC",0.384615385
BREVARD,104024,Total Staffed Bed Capacity,"CIRCLES OF CARE, INC",52
BREVARD,110027,Bed Census,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,59
BREVARD,110027,Available,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,2
BREVARD,110027,Available Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0.032786885
BREVARD,110027,Total Staffed Bed Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,61
BREVARD,110036,Bed Census,DEVEREUX FLORIDA,100
BREVARD,110036,Available,DEVEREUX FLORIDA,0
BREVARD,110036,Available Capacity,DEVEREUX FLORIDA,0
BREVARD,110036,Total Staffed Bed Capacity,DEVEREUX FLORIDA,100
BREVARD,120007,Bed Census,PALM BAY HOSPITAL,85
BREVARD,120007,Available,PALM BAY HOSPITAL,30
BREVARD,120007,Available Capacity,PALM BAY HOSPITAL,0.260869565
BREVARD,120007,Total Staffed Bed Capacity,PALM BAY HOSPITAL,115
BREVARD,23960034,Bed Census,MELBOURNE REGIONAL MEDICAL CENTER,41
BREVARD,23960034,Available,MELBOURNE REGIONAL MEDICAL CENTER,64
BREVARD,23960034,Available Capacity,MELBOURNE REGIONAL MEDICAL CENTER,0.609523810
BREVARD,23960034,Total Staffed Bed Capacity,MELBOURNE REGIONAL MEDICAL CENTER,105
BREVARD,23960090,Bed Census,KINDRED HOSPITAL MELBOURNE,42
BREVARD,23960090,Available,KINDRED HOSPITAL MELBOURNE,18
BREVARD,23960090,Available Capacity,KINDRED HOSPITAL MELBOURNE,0.3
BREVARD,23960090,Total Staffed Bed Capacity,KINDRED HOSPITAL MELBOURNE,60
BREVARD,23960092,Bed Census,VIERA HOSPITAL,62
BREVARD,23960092,Available,VIERA HOSPITAL,22
BREVARD,23960092,Available Capacity,VIERA HOSPITAL,0.261904762
BREVARD,23960092,Total Staffed Bed Capacity,VIERA HOSPITAL,84
BREVARD,23960153,Bed Census,PALM POINT BEHAVIORAL HEALTH,25
BREVARD,23960153,Available,PALM POINT BEHAVIORAL HEALTH,19
BREVARD,23960153,Available Capacity,PALM POINT BEHAVIORAL HEALTH,0.431818182
BREVARD,23960153,Total Staffed Bed Capacity,PALM POINT BEHAVIORAL HEALTH,44
BROWARD,100038,Bed Census,MEMORIAL REGIONAL HOSPITAL,600
BROWARD,100038,Available,MEMORIAL REGIONAL HOSPITAL,147
BROWARD,100038,Available Capacity,MEMORIAL REGIONAL HOSPITAL,0.196787149
BROWARD,100038,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL,747
BROWARD,100039,Bed Census,BROWARD HEALTH MEDICAL CENTER,407
BROWARD,100039,Available,BROWARD HEALTH MEDICAL CENTER,38
BROWARD,100039,Available Capacity,BROWARD HEALTH MEDICAL CENTER,0.085393258
BROWARD,100039,Total Staffed Bed Capacity,BROWARD HEALTH MEDICAL CENTER,445
BROWARD,100042,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,81
BROWARD,100042,Available,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,38
BROWARD,100042,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,0.319327731
BROWARD,100042,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,119
BROWARD,100056,Bed Census,CLEVELAND CLINIC HOSPITAL,197
BROWARD,100056,Available,CLEVELAND CLINIC HOSPITAL,33
