County,COVID Hospitalizations
ALACHUA,74
BAKER,7
BAY,21
BRADFORD,0
BREVARD,51
BROWARD,215
CALHOUN,0
CHARLOTTE,23
CITRUS,20
CLAY,32
COLLIER,24
COLUMBIA,16
DESOTO,0
DUVAL,126
ESCAMBIA,33
FLAGLER,14
FRANKLIN,0
GADSDEN,29
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,25
HIGHLANDS,21
HILLSBOROUGH,142
HOLMES,1
INDIAN RIVER,4
JACKSON,3
LAKE,30
LEE,52
LEON,45
MADISON,0
MANATEE,15
MARION,24
MARTIN,19
MIAMI-DADE,275
MONROE,2
NASSAU,3
OKALOOSA,13
OKEECHOBEE,14
ORANGE,117
OSCEOLA,62
PALM BEACH,128
PASCO,39
PINELLAS,99
POLK,82
PUTNAM,7
SANTA ROSA,1
SARASOTA,36
SEMINOLE,30
ST. JOHNS,13
ST. LUCIE,53
SUMTER,12
SUWANNEE,0
TAYLOR,0
UNION,10
VOLUSIA,52
WALTON,5
WASHINGTON,0
All,"2,121"
