County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,905
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,141
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.134799235
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,411
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,55
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.118025751
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,466
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,52
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,8
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.133333333
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,60
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,58
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,23
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.283950617
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,81
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,47
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,0
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,47
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,7
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,5
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.416666667
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,12
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,471
BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,142
BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.231647635
BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,122
BAY,100026,Available,ASCENSION SACRED HEART BAY,42
BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.256097561
BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,164
BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,172
BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,59
BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.255411255
BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,231
BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,68
BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,18
BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.209302326
BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,45
BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,10
BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0.181818182
BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,55
