County,COVID Hospitalizations
ALACHUA,131
BAKER,35
BAY,79
BRADFORD,0
BREVARD,124
BROWARD,"1,285"
CALHOUN,0
CHARLOTTE,61
CITRUS,26
CLAY,85
COLLIER,147
COLUMBIA,33
DESOTO,2
DUVAL,484
ESCAMBIA,207
FLAGLER,21
FRANKLIN,0
GADSDEN,34
GULF,4
HARDEE,0
HENDRY,8
HERNANDO,68
HIGHLANDS,54
HILLSBOROUGH,471
HOLMES,1
INDIAN RIVER,20
JACKSON,21
LAKE,101
LEE,198
LEON,78
MADISON,0
MANATEE,123
MARION,119
MARTIN,31
MIAMI-DADE,"2,016"
MONROE,16
NASSAU,2
OKALOOSA,51
OKEECHOBEE,13
ORANGE,521
OSCEOLA,169
PALM BEACH,601
PASCO,108
PINELLAS,392
POLK,290
PUTNAM,17
SANTA ROSA,24
SARASOTA,145
SEMINOLE,146
ST. JOHNS,36
ST. LUCIE,149
SUMTER,29
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,145
WALTON,12
WASHINGTON,4
All,"8,937"
