County,COVID Hospitalizations
ALACHUA,97
BAKER,2
BAY,43
BRADFORD,0
BREVARD,83
BROWARD,491
CALHOUN,1
CHARLOTTE,36
CITRUS,31
CLAY,46
COLLIER,55
COLUMBIA,18
DESOTO,3
DUVAL,248
ESCAMBIA,114
FLAGLER,10
FRANKLIN,0
GADSDEN,179
GULF,2
HARDEE,0
HENDRY,3
HERNANDO,27
HIGHLANDS,24
HILLSBOROUGH,187
HOLMES,3
INDIAN RIVER,9
JACKSON,12
LAKE,63
LEE,117
LEON,81
MADISON,0
MANATEE,27
MARION,82
MARTIN,13
MIAMI-DADE,749
MONROE,0
NASSAU,6
OKALOOSA,28
OKEECHOBEE,7
ORANGE,195
OSCEOLA,70
PALM BEACH,229
PASCO,47
PINELLAS,129
POLK,116
PUTNAM,6
SANTA ROSA,16
SARASOTA,50
SEMINOLE,63
ST. JOHNS,7
ST. LUCIE,79
SUMTER,18
SUWANNEE,0
TAYLOR,0
UNION,8
VOLUSIA,68
WALTON,3
WASHINGTON,6
All,"4,007"
