County,COVID Hospitalizations
ALACHUA,47
BAKER,3
BAY,14
BRADFORD,0
BREVARD,76
BROWARD,211
CALHOUN,0
CHARLOTTE,18
CITRUS,9
CLAY,35
COLLIER,28
COLUMBIA,15
DESOTO,2
DUVAL,115
ESCAMBIA,38
FLAGLER,7
FRANKLIN,0
GADSDEN,12
GULF,0
HARDEE,0
HENDRY,3
HERNANDO,23
HIGHLANDS,24
HILLSBOROUGH,171
HOLMES,1
INDIAN RIVER,10
JACKSON,10
LAKE,49
LEE,27
LEON,41
MADISON,0
MANATEE,30
MARION,25
MARTIN,10
MIAMI-DADE,257
MONROE,3
NASSAU,2
OKALOOSA,16
OKEECHOBEE,14
ORANGE,150
OSCEOLA,69
PALM BEACH,108
PASCO,45
PINELLAS,113
POLK,81
PUTNAM,4
SANTA ROSA,4
SARASOTA,28
SEMINOLE,23
ST. JOHNS,11
ST. LUCIE,47
SUMTER,22
SUWANNEE,0
TAYLOR,0
UNION,17
VOLUSIA,67
WALTON,6
WASHINGTON,2
All,"2,143"
