County,COVID Hospitalizations
ALACHUA,138
BAKER,35
BAY,85
BRADFORD,0
BREVARD,119
BROWARD,"1,267"
CALHOUN,0
CHARLOTTE,57
CITRUS,25
CLAY,75
COLLIER,134
COLUMBIA,31
DESOTO,3
DUVAL,463
ESCAMBIA,185
FLAGLER,24
FRANKLIN,0
GADSDEN,34
GULF,4
HARDEE,0
HENDRY,7
HERNANDO,66
HIGHLANDS,53
HILLSBOROUGH,476
HOLMES,1
INDIAN RIVER,26
JACKSON,18
LAKE,99
LEE,180
LEON,79
MADISON,0
MANATEE,124
MARION,113
MARTIN,29
MIAMI-DADE,"1,946"
MONROE,16
NASSAU,3
OKALOOSA,54
OKEECHOBEE,15
ORANGE,497
OSCEOLA,168
PALM BEACH,561
PASCO,104
PINELLAS,376
POLK,308
PUTNAM,17
SANTA ROSA,27
SARASOTA,145
SEMINOLE,134
ST. JOHNS,35
ST. LUCIE,179
SUMTER,32
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,137
WALTON,12
WASHINGTON,4
All,"8,720"
