County,COVID Hospitalizations
ALACHUA,72
BAKER,13
BAY,24
BRADFORD,0
BREVARD,43
BROWARD,242
CALHOUN,0
CHARLOTTE,30
CITRUS,19
CLAY,29
COLLIER,28
COLUMBIA,17
DESOTO,0
DUVAL,137
ESCAMBIA,45
FLAGLER,20
FRANKLIN,0
GADSDEN,27
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,17
HIGHLANDS,24
HILLSBOROUGH,136
HOLMES,0
INDIAN RIVER,2
JACKSON,9
LAKE,27
LEE,62
LEON,55
MADISON,0
MANATEE,14
MARION,34
MARTIN,17
MIAMI-DADE,314
MONROE,2
NASSAU,1
OKALOOSA,15
OKEECHOBEE,12
ORANGE,119
OSCEOLA,46
PALM BEACH,154
PASCO,33
PINELLAS,99
POLK,111
PUTNAM,6
SANTA ROSA,1
SARASOTA,32
SEMINOLE,26
ST. JOHNS,11
ST. LUCIE,46
SUMTER,12
SUWANNEE,0
TAYLOR,0
UNION,10
VOLUSIA,66
WALTON,2
WASHINGTON,0
All,"2,263"
