County,COVID Hospitalizations
ALACHUA,89
BAKER,35
BAY,22
BRADFORD,0
BREVARD,61
BROWARD,297
CALHOUN,0
CHARLOTTE,22
CITRUS,24
CLAY,37
COLLIER,38
COLUMBIA,10
DESOTO,0
DUVAL,165
ESCAMBIA,66
FLAGLER,11
FRANKLIN,0
GADSDEN,57
GULF,1
HARDEE,0
HENDRY,3
HERNANDO,20
HIGHLANDS,27
HILLSBOROUGH,156
HOLMES,0
INDIAN RIVER,5
JACKSON,10
LAKE,37
LEE,70
LEON,55
MADISON,0
MANATEE,21
MARION,56
MARTIN,12
MIAMI-DADE,448
MONROE,4
NASSAU,3
OKALOOSA,21
OKEECHOBEE,14
ORANGE,114
OSCEOLA,52
PALM BEACH,146
PASCO,25
PINELLAS,109
POLK,105
PUTNAM,7
SANTA ROSA,7
SARASOTA,34
SEMINOLE,35
ST. JOHNS,10
ST. LUCIE,55
SUMTER,11
SUWANNEE,0
TAYLOR,0
UNION,12
VOLUSIA,57
WALTON,6
WASHINGTON,1
All,"2,683"
