County,COVID Hospitalizations
ALACHUA,104
BAKER,0
BAY,33
BRADFORD,0
BREVARD,80
BROWARD,394
CALHOUN,0
CHARLOTTE,47
CITRUS,66
CLAY,44
COLLIER,74
COLUMBIA,20
DESOTO,10
DUVAL,172
ESCAMBIA,77
FLAGLER,7
FRANKLIN,0
GADSDEN,0
GULF,0
HARDEE,0
HENDRY,1
HERNANDO,63
HIGHLANDS,53
HILLSBOROUGH,229
HOLMES,1
INDIAN RIVER,14
JACKSON,28
LAKE,52
LEE,118
LEON,32
MADISON,0
MANATEE,46
MARION,52
MARTIN,21
MIAMI-DADE,563
MONROE,8
NASSAU,2
OKALOOSA,38
OKEECHOBEE,10
ORANGE,138
OSCEOLA,101
PALM BEACH,273
PASCO,119
PINELLAS,168
POLK,117
PUTNAM,8
SANTA ROSA,15
SARASOTA,71
SEMINOLE,55
ST. JOHNS,15
ST. LUCIE,66
SUMTER,17
SUWANNEE,0
TAYLOR,0
UNION,1
VOLUSIA,89
WALTON,9
WASHINGTON,2
All,"3,723"
