County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,842
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,204
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.195028681
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,424
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,44
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.094017094
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,468
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,38
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,22
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.366666667
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,60
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,76
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,5
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.061728395
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,81
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,45
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,3
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0.0625
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,48
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,5
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,7
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.583333333
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,12
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,456
BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,157
BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.256117455
BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,111
BAY,100026,Available,ASCENSION SACRED HEART BAY,19
BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.146153846
BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,130
BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,188
BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,43
BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.186147186
BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,231
BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,67
BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,19
BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.220930233
BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,40
BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0
BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0
BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,40
BAY,23960045,Bed Census,SELECT SPECIALTY HOSPITAL - PANAMA CITY,22
BAY,23960045,Available,SELECT SPECIALTY HOSPITAL - PANAMA CITY,8
BAY,23960045,Available Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0.266666667
BAY,23960045,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,30
BRADFORD,100103,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
