County,COVID Hospitalizations
ALACHUA,133
BAKER,24
BAY,80
BRADFORD,0
BREVARD,113
BROWARD,"1,040"
CALHOUN,1
CHARLOTTE,42
CITRUS,28
CLAY,77
COLLIER,127
COLUMBIA,18
DESOTO,3
DUVAL,407
ESCAMBIA,174
FLAGLER,14
FRANKLIN,0
GADSDEN,120
GULF,5
HARDEE,0
HENDRY,12
HERNANDO,52
HIGHLANDS,49
HILLSBOROUGH,397
HOLMES,1
INDIAN RIVER,26
JACKSON,16
LAKE,92
LEE,203
LEON,88
MADISON,0
MANATEE,81
MARION,99
MARTIN,26
MIAMI-DADE,"1,622"
MONROE,10
NASSAU,3
OKALOOSA,46
OKEECHOBEE,13
ORANGE,383
OSCEOLA,139
PALM BEACH,454
PASCO,98
PINELLAS,293
POLK,269
PUTNAM,11
SANTA ROSA,16
SARASOTA,90
SEMINOLE,114
ST. JOHNS,28
ST. LUCIE,150
SUMTER,26
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,131
WALTON,10
WASHINGTON,5
All,"7,459"
