County,COVID Hospitalizations
ALACHUA,103
BAKER,31
BAY,72
BRADFORD,0
BREVARD,118
BROWARD,644
CALHOUN,0
CHARLOTTE,48
CITRUS,50
CLAY,45
COLLIER,70
COLUMBIA,16
DESOTO,4
DUVAL,314
ESCAMBIA,129
FLAGLER,20
FRANKLIN,1
GADSDEN,0
GULF,1
HARDEE,0
HENDRY,1
HERNANDO,42
HIGHLANDS,43
HILLSBOROUGH,334
HOLMES,1
INDIAN RIVER,25
JACKSON,5
LAKE,100
LEE,90
LEON,87
MADISON,2
MANATEE,67
MARION,94
MARTIN,28
MIAMI-DADE,849
MONROE,4
NASSAU,8
OKALOOSA,47
OKEECHOBEE,11
ORANGE,255
OSCEOLA,118
PALM BEACH,379
PASCO,98
PINELLAS,252
POLK,206
PUTNAM,17
SANTA ROSA,16
SARASOTA,65
SEMINOLE,76
ST. JOHNS,21
ST. LUCIE,109
SUMTER,46
SUWANNEE,0
TAYLOR,0
UNION,1
VOLUSIA,133
WALTON,10
WASHINGTON,1
All,"5,307"
