County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,809
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,237
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.226577438
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,415
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,51
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.109442060
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,466
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,55
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,5
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.083333333
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,60
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,61
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,25
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.290697674
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,86
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,43
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,5
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0.104166667
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,48
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,10
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,5
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.333333333
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,15
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,480
BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,133
BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.216965742
BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,119
BAY,100026,Available,ASCENSION SACRED HEART BAY,32
BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.211920530
BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,151
BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,184
BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,47
BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.203463203
BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,231
BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,64
BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,22
BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.255813953
BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,46
BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,2
BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0.041666667
BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,48
BAY,23960045,Bed Census,SELECT SPECIALTY HOSPITAL - PANAMA CITY,19
BAY,23960045,Available,SELECT SPECIALTY HOSPITAL - PANAMA CITY,11
BAY,23960045,Available Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0.366666667
BAY,23960045,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,30
BRADFORD,100103,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0.5
BRADFORD,100103,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,10
BREVARD,100019,Bed Census,HOLMES REGIONAL MEDICAL CENTER,386
BREVARD,100019,Available,HOLMES REGIONAL MEDICAL CENTER,100
BREVARD,100019,Available Capacity,HOLMES REGIONAL MEDICAL CENTER,0.205761317
BREVARD,100019,Total Staffed Bed Capacity,HOLMES REGIONAL MEDICAL CENTER,486
BREVARD,100028,Bed Census,PARRISH MEDICAL CENTER,93
