County,COVID Hospitalizations
ALACHUA,74
BAKER,4
BAY,22
BRADFORD,0
BREVARD,68
BROWARD,206
CALHOUN,1
CHARLOTTE,40
CITRUS,23
CLAY,21
COLLIER,42
COLUMBIA,15
DESOTO,0
DUVAL,131
ESCAMBIA,42
FLAGLER,5
FRANKLIN,0
GADSDEN,4
GULF,1
HARDEE,0
HENDRY,1
HERNANDO,32
HIGHLANDS,31
HILLSBOROUGH,152
HOLMES,4
INDIAN RIVER,10
JACKSON,7
LAKE,34
LEE,65
LEON,44
MADISON,0
MANATEE,22
MARION,27
MARTIN,5
MIAMI-DADE,338
MONROE,5
NASSAU,2
OKALOOSA,20
OKEECHOBEE,5
ORANGE,140
OSCEOLA,81
PALM BEACH,140
PASCO,50
PINELLAS,123
POLK,79
PUTNAM,7
SANTA ROSA,3
SARASOTA,43
SEMINOLE,38
ST. JOHNS,4
ST. LUCIE,46
SUMTER,10
SUWANNEE,0
TAYLOR,0
UNION,8
VOLUSIA,54
WALTON,9
WASHINGTON,0
All,"2,338"
