County,COVID Hospitalizations
ALACHUA,52
BAKER,3
BAY,24
BRADFORD,0
BREVARD,77
BROWARD,206
CALHOUN,0
CHARLOTTE,26
CITRUS,11
CLAY,30
COLLIER,25
COLUMBIA,12
DESOTO,0
DUVAL,130
ESCAMBIA,45
FLAGLER,10
FRANKLIN,0
GADSDEN,16
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,16
HIGHLANDS,24
HILLSBOROUGH,161
HOLMES,1
INDIAN RIVER,12
JACKSON,7
LAKE,41
LEE,16
LEON,43
MADISON,0
MANATEE,30
MARION,29
MARTIN,16
MIAMI-DADE,267
MONROE,2
NASSAU,1
OKALOOSA,17
OKEECHOBEE,10
ORANGE,131
OSCEOLA,72
PALM BEACH,96
PASCO,49
PINELLAS,109
POLK,80
PUTNAM,6
SANTA ROSA,5
SARASOTA,26
SEMINOLE,26
ST. JOHNS,14
ST. LUCIE,52
SUMTER,13
SUWANNEE,0
TAYLOR,0
UNION,15
VOLUSIA,58
WALTON,3
WASHINGTON,1
All,"2,118"
