County,COVID Hospitalizations
ALACHUA,120
BAKER,0
BAY,70
BRADFORD,0
BREVARD,114
BROWARD,665
CALHOUN,0
CHARLOTTE,46
CITRUS,32
CLAY,63
COLLIER,65
COLUMBIA,16
DESOTO,1
DUVAL,287
ESCAMBIA,123
FLAGLER,12
FRANKLIN,0
GADSDEN,114
GULF,2
HARDEE,0
HENDRY,2
HERNANDO,33
HIGHLANDS,36
HILLSBOROUGH,239
HOLMES,3
INDIAN RIVER,14
JACKSON,11
LAKE,43
LEE,140
LEON,89
MADISON,0
MANATEE,48
MARION,107
MARTIN,27
MIAMI-DADE,949
MONROE,4
NASSAU,10
OKALOOSA,31
OKEECHOBEE,10
ORANGE,264
OSCEOLA,88
PALM BEACH,290
PASCO,60
PINELLAS,170
POLK,154
PUTNAM,11
SANTA ROSA,12
SARASOTA,75
SEMINOLE,76
ST. JOHNS,19
ST. LUCIE,73
SUMTER,16
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,102
WALTON,6
WASHINGTON,2
All,"4,944"
