HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Abilene, TX",980,127,565,772,68,98,"226,444","50,412","90,578","19,125","4,180","1,275",226%,165%,130%,638,113%,83%,65%,416,74%,54%,42%,279,410%,285%,220%,139,204%,142%,109%,91,134%,93%,72%
"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042","219,196","45,867","9,917","3,058",590%,326%,225%,"1,529",295%,163%,113%,997,192%,106%,73%,661,703%,472%,355%,331,352%,236%,178%,216,230%,154%,116%
"Alameda County, CA","2,695",293,665,"1,680",139,216,"1,310,189","214,991","524,076","107,744","22,800","7,183",1080%,428%,267%,"3,591",540%,214%,133%,"2,342",352%,139%,87%,"1,520",1094%,704%,519%,760,547%,352%,259%,496,357%,230%,169%
"Albany, GA",704,60,221,462,27,43,"157,143","30,466","62,857","13,101","2,819",873,395%,189%,124%,437,198%,95%,62%,285,129%,62%,40%,188,696%,437%,313%,94,348%,219%,157%,61,226%,142%,102%
"Albany, NY","4,804",425,"1,579","3,191",193,309,"1,477,723","318,695","591,089","124,417","27,091","8,294",525%,260%,173%,"4,147",263%,130%,86%,"2,705",171%,85%,56%,"1,806",936%,584%,425%,903,468%,292%,212%,589,305%,191%,139%
"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457","534,718","112,216","24,348","7,481",679%,373%,257%,"3,741",339%,187%,129%,"2,439",221%,122%,84%,"1,623",1008%,601%,427%,812,504%,301%,214%,529,329%,196%,139%
"Alexandria, LA",917,43,402,660,20,31,"221,597","44,519","88,639","18,533","4,003","1,236",307%,187%,135%,618,154%,94%,67%,403,100%,61%,44%,267,1335%,861%,621%,133,665%,429%,309%,87,435%,281%,202%
"Allentown, PA","3,267",334,"1,267","2,267",143,238,"960,572","207,376","384,229","80,884","17,614","5,392",426%,238%,165%,"2,696",213%,119%,83%,"1,758",139%,78%,54%,"1,174",821%,493%,351%,587,410%,247%,176%,383,268%,161%,115%
"Altoona, PA",555,61,234,394,27,44,"234,560","56,483","93,824","19,973","4,407","1,332",569%,338%,240%,666,285%,169%,120%,434,185%,110%,78%,294,1089%,668%,482%,147,544%,334%,241%,96,356%,218%,157%
"Amarillo, TX","1,236",194,678,957,79,137,"332,671","61,267","133,068","27,611","5,910","1,841",272%,192%,149%,920,136%,96%,74%,600,88%,63%,49%,394,499%,288%,203%,197,249%,144%,102%,128,162%,93%,66%
"Anchorage, AK","1,583",130,533,"1,058",55,93,"551,912","74,327","220,765","44,770","9,311","2,985",560%,282%,189%,"1,492",280%,141%,94%,973,183%,92%,61%,621,1129%,668%,478%,310,564%,333%,238%,202,367%,217%,155%
"Ann Arbor, MI","3,014",406,876,"1,945",122,264,"1,115,589","209,105","446,236","92,731","19,883","6,182",706%,318%,205%,"3,091",353%,159%,103%,"2,016",230%,104%,67%,"1,326",1087%,502%,327%,663,543%,251%,163%,432,354%,164%,106%
"Appleton, WI",448,72,222,335,37,54,"254,546","52,373","101,818","21,336","4,621","1,422",641%,424%,317%,711,320%,212%,159%,464,209%,139%,104%,308,832%,570%,428%,154,416%,285%,214%,100,270%,185%,139%
"Arlington, VA","3,116",450,995,"2,055",173,312,"1,909,537","270,129","763,815","155,390","32,450","10,359",1041%,504%,332%,"5,180",521%,252%,166%,"3,378",339%,164%,108%,"2,163",1250%,693%,481%,"1,082",625%,347%,240%,705,408%,226%,157%
"Asheville, NC","1,541",232,556,"1,048",76,154,"553,131","146,572","221,252","47,608","10,633","3,174",571%,303%,206%,"1,587",285%,151%,103%,"1,035",186%,99%,67%,709,933%,460%,306%,354,466%,230%,153%,231,304%,150%,100%
"Atlanta, GA","12,780","1,621","3,338","8,059",436,"1,029","5,027,281","799,338","2,010,912","412,448","87,022","27,497",824%,341%,215%,"13,748",412%,171%,108%,"8,966",269%,111%,70%,"5,801",1331%,564%,358%,"2,901",665%,282%,179%,"1,892",434%,184%,117%
"Augusta, GA","2,194",349,831,"1,512",106,227,"540,242","105,665","216,097","45,074","9,708","3,005",362%,199%,137%,"1,502",181%,99%,68%,980,118%,65%,45%,647,610%,285%,185%,324,306%,143%,93%,211,199%,93%,60%
"Aurora, IL",527,55,286,406,25,40,"245,644","34,035","98,258","19,962","4,161","1,331",465%,328%,253%,665,233%,164%,126%,434,152%,107%,82%,277,1108%,693%,504%,139,556%,348%,253%,90,360%,225%,164%
"Austin, TX","2,775",393,"1,003","1,889",161,277,"1,523,446","208,426","609,378","123,702","25,761","8,247",822%,437%,297%,"4,123",411%,218%,149%,"2,689",268%,142%,97%,"1,717",1066%,620%,437%,859,534%,310%,219%,560,348%,202%,142%
"Bakersfield, CA","2,429",191,692,"1,561",88,140,"847,115","123,309","338,846","69,066","14,458","4,604",665%,295%,190%,"2,302",333%,147%,95%,"1,501",217%,96%,62%,964,1095%,689%,505%,482,548%,344%,252%,314,357%,224%,164%
"Baltimore, MD","6,931",844,"1,887","4,409",303,574,"2,015,003","379,769","806,001","167,571","35,951","11,171",592%,253%,161%,"5,586",296%,127%,81%,"3,643",193%,83%,53%,"2,397",791%,418%,284%,"1,198",395%,209%,142%,782,258%,136%,93%
"Bangor, ME","1,094",100,400,747,28,64,"318,554","77,904","127,422","27,171","6,006","1,811",453%,242%,166%,906,227%,121%,83%,591,148%,79%,54%,400,1429%,625%,400%,200,714%,313%,200%,131,468%,205%,131%
"Baton Rouge, LA","2,898",249,"1,159","2,028",119,184,"746,856","127,072","298,742","61,590","13,078","4,106",354%,202%,142%,"2,053",177%,101%,71%,"1,339",116%,66%,46%,872,733%,474%,350%,436,366%,237%,175%,284,239%,154%,114%
"Beaumont, TX",908,114,421,665,43,79,"356,372","70,621","142,549","29,768","6,421","1,985",471%,298%,219%,992,236%,149%,109%,647,154%,97%,71%,428,995%,542%,375%,214,498%,271%,188%,140,326%,177%,123%
